servedIMSI	servedMSISDN	servedIMEISV	recordOpeningTime	changeTime	dataVolumeGPRSUplink	dataVolumeGPRSDownlink	duration	durationUnit
123456789012345_1_1	123456789ABCDEF001	1200034000560000	2105110815332B0200	2105110841072B0200	4711	9999	100	seconds
123456789012345_1_1	123456789ABCDEF001	1200034000560000	2105110815332B0200	2105110841072B0200	4711	9999	100	seconds
								
								
								
123456789012345_2_1								
123456789012345_2_1								
123456789012345_2_1								
123456789012345_2_1								
123456789012345_2_1								
123456789012345_2_1								
123456789012345_2_1								
123456789012345_2_1								
123456789012345_2_1			2105110816332B0200					
123456789012345_2_1			2105110816332B0200				200	seconds
123456789012345_2_1			2105110816332B0200				200	seconds
123456789012345_2_1			2105110816332B0200				200	seconds
123456789012345_2_1			2105110816332B0200				200	seconds
123456789012345_2_1			2105110816332B0200				200	seconds
123456789012345_2_1	123456789ABCDEF001		2105110816332B0200				200	seconds
123456789012345_2_1	123456789ABCDEF001		2105110816332B0200				200	seconds
123456789012345_2_1	123456789ABCDEF001		2105110816332B0200				200	seconds
123456789012345_2_1	123456789ABCDEF001	1200034000560000	2105110816332B0200				200	seconds
123456789012345_2_1	123456789ABCDEF001	1200034000560000	2105110816332B0200				200	seconds
123456789012345_2_1	123456789ABCDEF001	1200034000560000	2105110816332B0200				200	seconds
123456789012345_2_1	123456789ABCDEF001	1200034000560000	2105110816332B0200				200	seconds
123456789012345_2_1	123456789ABCDEF001	1200034000560000	2105110816332B0200				200	seconds
123456789012345_2_1	123456789ABCDEF001	1200034000560000	2105110816332B0200				200	seconds
123456789012345_2_1	123456789ABCDEF001	1200034000560000	2105110816332B0200				200	seconds
123456789012345_2_1	123456789ABCDEF001	1200034000560000	2105110816332B0200				200	seconds
123456789012345_2_1	123456789ABCDEF001	1200034000560000	2105110816332B0200				200	seconds
123456789012345_2_1	123456789ABCDEF001	1200034000560000	2105110816332B0200				200	seconds
123456789012345_2_1	123456789ABCDEF001	1200034000560000	2105110816332B0200				200	seconds
123456789012345_2_1	123456789ABCDEF001	1200034000560000	2105110816332B0200				200	seconds
123456789012345_2_1	123456789ABCDEF001	1200034000560000	2105110816332B0200				200	seconds
123456789012345_2_1	123456789ABCDEF001	1200034000560000	2105110816332B0200		4712		200	seconds
123456789012345_2_1	123456789ABCDEF001	1200034000560000	2105110816332B0200		4712	9999	200	seconds
123456789012345_2_1	123456789ABCDEF001	1200034000560000	2105110816332B0200		4712	9999	200	seconds
123456789012345_2_1	123456789ABCDEF001	1200034000560000	2105110816332B0200	2105110842072B0200	4712	9999	200	seconds
123456789012345_2_1	123456789ABCDEF001	1200034000560000	2105110816332B0200	2105110842072B0200	4712	9999	200	seconds
123456789012345_2_1	123456789ABCDEF001	1200034000560000	2105110816332B0200	2105110842072B0200	4712	9999	200	seconds
123456789012345_2_1	123456789ABCDEF001	1200034000560000	2105110816332B0200	2105110842072B0200	4712	9999	200	seconds
123456789012345_2_1	123456789ABCDEF001	1200034000560000	2105110816332B0200	2105110842072B0200	4712	1001001	200	seconds
123456789012345_2_1	123456789ABCDEF001	1200034000560000	2105110816332B0200	2105110842072B0200	4712	1001001	200	seconds
123456789012345_2_1	123456789ABCDEF001	1200034000560000	2105110816332B0200	2105110842072B0200	4712	1001001	200	seconds
123456789012345_2_1	123456789ABCDEF001	1200034000560000	2105110816332B0200	2105110842072B0200	4712	1001001	200	seconds
123456789012345_2_1	123456789ABCDEF001	1200034000560000	2105110816332B0200	2105110842072B0200	4712	1001001	200	seconds
123456789012345_2_1	123456789ABCDEF001	1200034000560000	2105110816332B0200	2105110842072B0200	4712	1001001	200	seconds
123456789012345_2_1	123456789ABCDEF001	1200034000560000	2105110816332B0200	2105110842072B0200	4712	1001001	200	seconds
123456789012345_2_1	123456789ABCDEF001	1200034000560000	2105110816332B0200	2105110842072B0200	4712	1001001	200	seconds
123456789012345_2_1	123456789ABCDEF001	1200034000560000	2105110816332B0200	2105110842072B0200	4712	1001001	200	seconds
123456789012345_2_1	123456789ABCDEF001	1200034000560000	2105110816332B0200	2105110842072B0200	4712	1001001	200	seconds
123456789012345_2_1	123456789ABCDEF001	1200034000560000	2105110816332B0200	2105110842072B0200	4712	1001001	200	seconds
123456789012345_2_1	123456789ABCDEF001	1200034000560000	2105110816332B0200	2105110842072B0200	4712	1001001	200	seconds
123456789012345_2_1	123456789ABCDEF001	1200034000560000	2105110816332B0200	2105110842072B0200	4712	1001001	200	seconds
123456789012345_2_1	123456789ABCDEF001	1200034000560000	2105110816332B0200	2105110842072B0200	4712	1001001	200	seconds
123456789012345_2_1	123456789ABCDEF001	1200034000560000	2105110816332B0200	2105110842072B0200	4712	1001001	200	seconds
123456789012345_2_1	123456789ABCDEF001	1200034000560000	2105110816332B0200	2105110842072B0200	4712	1001001	200	seconds
123456789012345_2_1	123456789ABCDEF001	1200034000560000	2105110816332B0200	2105110842072B0200	4712	1001001	200	seconds
123456789012345_2_1	123456789ABCDEF001	1200034000560000	2105110816332B0200	2105110842072B0200	4712	1001001	200	seconds
123456789012345_2_1	123456789ABCDEF001	1200034000560000	2105110816332B0200	2105110842072B0200	4712	1001001	200	seconds
123456789012345_2_1	123456789ABCDEF001	1200034000560000	2105110816332B0200	2105110842072B0200	4712	1001001	200	seconds
123456789012345_2_1	123456789ABCDEF001	1200034000560000	2105110816332B0200	2105110842072B0200	4712	1001001	200	seconds
								
								
								
								
123456789012345_3_1								
123456789012345_3_1								
123456789012345_3_1								
123456789012345_3_1								
123456789012345_3_1								
123456789012345_3_1								
123456789012345_3_1								
123456789012345_3_1								
123456789012345_3_1			2105110817332B0200					
123456789012345_3_1			2105110817332B0200				300	seconds
123456789012345_3_1			2105110817332B0200				300	seconds
123456789012345_3_1			2105110817332B0200				300	seconds
123456789012345_3_1			2105110817332B0200				300	seconds
123456789012345_3_1			2105110817332B0200				300	seconds
123456789012345_3_1	123456789ABCDEF001		2105110817332B0200				300	seconds
123456789012345_3_1	123456789ABCDEF001		2105110817332B0200				300	seconds
123456789012345_3_1	123456789ABCDEF001		2105110817332B0200				300	seconds
123456789012345_3_1	123456789ABCDEF001	1200034000560000	2105110817332B0200				300	seconds
123456789012345_3_1	123456789ABCDEF001	1200034000560000	2105110817332B0200				300	seconds
123456789012345_3_1	123456789ABCDEF001	1200034000560000	2105110817332B0200				300	seconds
123456789012345_3_1	123456789ABCDEF001	1200034000560000	2105110817332B0200				300	seconds
123456789012345_3_1	123456789ABCDEF001	1200034000560000	2105110817332B0200				300	seconds
123456789012345_3_1	123456789ABCDEF001	1200034000560000	2105110817332B0200				300	seconds
123456789012345_3_1	123456789ABCDEF001	1200034000560000	2105110817332B0200				300	seconds
123456789012345_3_1	123456789ABCDEF001	1200034000560000	2105110817332B0200				300	seconds
123456789012345_3_1	123456789ABCDEF001	1200034000560000	2105110817332B0200				300	seconds
123456789012345_3_1	123456789ABCDEF001	1200034000560000	2105110817332B0200				300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200				300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200				300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200				300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200				300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200				300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200				300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200				300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200				300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200				300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200				300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200				300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200				300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200				300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200				300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200				300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200				300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200				300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200				300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200				300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200				300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200				300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200				300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200				300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200				300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200				300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200				300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200				300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200				300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200				300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200				300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200				300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200				300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200		4713		300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200		4713	9999	300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200		4713	9999	300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200	2105110843072B0200	4713	9999	300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200	2105110843072B0200	4713	9999	300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200	2105110843072B0200	4713	9999	300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200	2105110843072B0200	4747	9999	300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200	2105110843072B0200	4747	9999	300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200	2105110843072B0200	4747	9999	300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200	2105110843072B0200	4747	9999	300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200	2105110843072B0200	4747	9999	300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200	2105110843072B0200	4747	9999	300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200	2105110843072B0200	4747	9999	300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200	2105110843072B0200	4747	9999	300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200	2105110843072B0200	4747	9999	300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200	2105110843072B0200	4747	9999	300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200	2105110843072B0200	4747	9999	300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200	2105110843072B0200	4747	9999	300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200	2105110843072B0200	4747	9999	300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200	2105110843072B0200	4747	9999	300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200	2105110843072B0200	4747	9999	300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200	2105110843072B0200	4747	9999	300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200	2105110843072B0200	4747	9999	300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200	2105110843072B0200	4747	9999	300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200	2105110843072B0200	4747	9999	300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200	2105110843072B0200	4747	9999	300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200	2105110843072B0200	4747	9999	300	seconds
123456789012346_3_2	123456789ABCDEF001	1200034000560000	2105110817332B0200	2105110843072B0200	4747	9999	300	seconds
